Branch Name,Address,Telephone ,Postal Code
Agincourt ,155 Bonis Ave,(416) 396-8943,M1T 3W6
Albert Campbell ,496 Birchmount Rd,(416) 396-8890,M1K 1N8
Albion,1515 Albion Rd,(416) 394-5170,M9V 1B2
Alderwood,2 Orianna Dr,(416) 394-5310,M8W 4Y1
Amesbury Park,1565 Lawrence Ave W,(416) 395-5420,M6L 1A8
Annette Street,145 Annette St.,(416) 393-7692,M6P 1P3
Armour Heights,2140 Avenue Rd ,(416) 395-5430,M5M 4M7
Barbara Frum,20 Covington Rd,(416) 395-5440,M6A 3C1
Bayview,2901 Bayview Ave ,(416) 395-5460,M2K 1E6
Beaches,2161 Queen St E,(416) 393-7703,M4L 1J1
Bendale,1515 Danforth Rd,(416) 396-8910,M1J 1H5
Black Creek,"1700 Wilson Ave, Unit 63-64",(416) 395-5470,M3L 1B2
Bloor Gladstone,1101 Bloor St W,(416) 393-7674,M6H 1M7
Brentwood,36 Brentwood Rd N,(416) 394-5240,M8X 2B5
Bridlewood,2900 Warden Ave ,(416) 396-8960,M1W 2S8
Brookbanks,210 Brookbanks Dr,(416) 395-5480,M3A 2T8
Burrows Hall,1081 Progress Ave,(416) 396-8740,M1B 5Z6
Cedarbrae,545 Markham Rd,(416) 396-8850,M1H 2A1
Centennial,578 Finch Ave W,(416) 395-5490,M2R 1N7
City Hall,100 Queen St W,(416) 393-7650,M5H 2N3
Cliffcrest,3017 Kingston Rd,(416) 396-8916,M1M 1P1
College Shaw,766 College St,(416) 393-7668,M6G 1C4
Danforth Coxwell,1675 Danforth Ave,(416) 393-7783,M4C 5P2
Davenport,1246 Shaw St,(416) 393-7732,M6G 3P1
Dawes Road,416 Dawes Rd ,(416) 396-3820,M4B 2E8
Deer Park,40 St. Clair Ave E,(416) 393-7657,M4T 1M9
Don Mills,888 Lawrence Ave E,(416) 395-5710,M3C 1P6
Downsview,2793 Keele St,(416) 395-5720,M3M 2G3
Dufferin St. Clair,1625 Dufferin St,(416) 393-7712,M6H 3L9
Eatonville,430 Burnhamthorpe Rd,(416) 394-5270,M9B 2B1
Eglinton Square,"1 Eglinton Sq, Unit 126 ",(416) 396-8920,M1L 2K1
Elmbrook Park,2 Elmbrook Cr,(416) 394-5290,M9C 5B4
Evelyn Gregory,120 Trowell Ave,(416) 394-1006,M6M 1L7
Fairview,35 Fairview Mall Dr,(416) 395-5750,M2J 4S4
Flemingdon Park,29 St. Dennis Dr ,(416) 395-5820,M3C 3J3
Forest Hill,700 Eglinton Ave W,(416) 393-7706,M5N 1B9
Fort York,190 Fort York Blvd,(416) 393-6240,M5V 0E7 
Gerrard Ashdale,1432 Gerrard St E,(416) 393-7717,M4L 1Z6
Goldhawk Park,295 Alton Towers Cir,(416) 396-8964,M1V 4P1
Guildwood,123 Guildwood Pkwy ,(416) 396-8872,M1E 4V2
High Park,228 Roncesvalles Ave,(416) 393-7671,M6R 2L7
Highland Creek,3550 Ellesmere Rd,(416) 396-8876,M1C 3Z2
Hillcrest,5801 Leslie St,(416) 395-5830,M2H 1J8
Humber Bay,200 Park Lawn Rd,(416) 394-5300,M8Y 3J1
Humber Summit,2990 Islington Ave,(416) 395-5840,M9L 2K6
Humberwood,850 Humberwood Blvd,(416) 394-5210,M9W 7A6
Jane Dundas,620 Jane St,(416) 394-1014,M6S 4A6
Jane Sheppard,1906 Sheppard Ave West,(416) 395-5966,M3L 1Y7
Jones,118 Jones Ave,(416) 393-7715,M4M 2Z9
Kennedy Eglinton,2380 Eglinton Ave E,(416) 396-8924,M1K 2P3
Leaside,165 McRae Dr,(416) 396-3835,M4G 1S8
Lillian H. Smith,239 College St,(416) 393-7746,M5T 1R5
Locke,3083 Yonge St,(416) 393-7730,M4N 2K7
Long Branch,3500 Lakeshore Blvd W,(416) 394-5320,M8W 1N6
Main Street,137 Main St,(416) 393-7700,M4E 2V9
Malvern,30 Sewells Rd,(416) 396-8969,M1B 3G5
Maria A. Shchuka,1745 Eglinton Ave W,(416) 394-1000,M6E 2H4
Maryvale,85 Ellesmere Rd ,(416) 396-8931,M1R 4B9
McGregor Park,2219 Lawrence Ave E,(416) 396-8935,M1P 2P5
Mimico Centennial,47 Station Rd,(416) 394-5330,M8V 2R1
Morningside,4279 Lawrence Ave E,(416) 396-8881,M1E 2S8
Mount Dennis,1123 Weston Rd,(416) 394-1008,M6N 3S3
Mount Pleasant,599 Mt. Pleasant Rd,(416) 393-7737,M4S 2M5
New Toronto,110 Eleventh St,(416) 394-5350,M8V 3G5
North York Central,5120 Yonge St,(416) 395-5535,M2N 5N9
Northern District,40 Orchard View Blvd,(416) 393-7610,M4R 1B9
Northern Elms,"123 B Rexdale Blvd, Unit 5",(416) 394-5230,M9W 1P1
Oakwood Village Library,341 Oakwood Ave,(416) 394-1040,M6E 2W1
Palmerston,560 Palmerston Ave,(416) 393-7680,M6G 2P7
Pape Danforth,701 Pape Ave,(416) 393-7727,M4K 3S6
Parkdale,1303 Queen St W,(416) 393-7686,M6K 1L6
Parliament Street,269 Gerrard St E,(416) 393-7663,M5A 2G6
Perth Dupont,1589 Dupont St,(416) 393-7677,M6P 3S5
Pleasant View,575 Van Horne Ave,(416) 395-5940,M2J 4S8
Port Union,5450 Lawrence Ave E,(416) 396-8885,M1C 3B2
Queen Saulter,765 Queen St E,(416) 393-7723,M4M 1H3
Rexdale,2243 Kipling Ave,(416) 394-5200,M9W 4L5
Richview,1806 Islington Ave,(416) 394-5120,M9P 3N3
Riverdale,370 Broadview Ave,(416) 393-7720,M4K 2M8
Runnymede,2178 Bloor St W,(416) 393-7697,M6S 1M8
S. Walter Stewart,170 Memorial Park Ave,(416) 396-3975,M4J 2K5
Sanderson,327 Bathurst St,(416) 393-7653,M5T 1J1
Scarborough Civic Centre,150 Borough Dr,(416) 396-3599,M1P 4N7
Spadina Road,10 Spadina Rd,(416) 393-7655,M5R 2S7
St. Clair Silverthorn,1748 St. Clair Ave W,(416) 393-7709,M6N 1J3
St. James Town,495 Sherbourne St,(416) 393-7744,M4X 1K7
St. Lawrence,171 Front St E,(416) 393-7655,M5A 4H3
Steeles,"375 Bamburgh Circle, C107",(416) 396-8975,M1W 3Y1
Swansea Memorial,95 Lavinia Ave,(416) 393-7695,M6S 3H9
Taylor Memorial,1440 Kingston Rd,(416) 396-8939,M1N 1R3
Thorncliffe,48 Thorncliffe Park Dr,(416) 396-3865,M4H 1J7
Todmorden Room,1081½ Pape Ave ,(416) 396-3875,M4K 3W6
Toronto Reference Library,789 Yonge St,(416) 395-5577,M4W 2G8
Victoria Village,184 Sloane Ave,(416) 395-5950,M4A 2C4
Weston,2 King St,(416) 394-1016,M9N 1K9
Woodside Square,1571 Sandhurst Cir,(416) 396-8979,M1V 1V2
Woodview Park,16 Bradstock Rd,(416) 395-5960,M9M 1M8
Wychwood,1431 Bathurst St,(416) 393-7683,M5R 3J2
York Woods,1785 Finch Ave W,(416) 395-5980,M3N 1M6
Yorkville,22 Yorkville Ave,(416) 393-7660,M4W 1L4
